Algorithm,TotalItems,ItemsValue,ItemsWeight,Quantity,Capacity,Time_ns,Result
greedy,1,1,1,1,1,1700,1
greedy,1,1,101,1,1,300,0
greedy,1,1,201,1,1,100,0
greedy,1,1,301,1,1,100,0
greedy,1,1,401,1,1,100,0
greedy,1,1,501,1,1,200,0
greedy,1,1,601,1,1,100,0
greedy,1,101,1,1,1,200,82
greedy,1,101,101,1,1,100,0
greedy,1,101,201,1,1,100,0
greedy,1,101,301,1,1,100,0
greedy,1,101,401,1,1,100,0
greedy,1,101,501,1,1,100,0
greedy,1,101,601,1,1,100,0
greedy,1,201,1,1,1,100,12
greedy,1,201,101,1,1,100,0
greedy,1,201,201,1,1,100,1
greedy,1,201,301,1,1,100,0
greedy,1,201,401,1,1,100,0
greedy,1,201,501,1,1,100,0
greedy,1,201,601,1,1,100,0
greedy,1,301,1,1,1,200,11
greedy,1,301,101,1,1,100,10
greedy,1,301,201,1,1,100,5
greedy,1,301,301,1,1,100,0
greedy,1,301,401,1,1,100,0
greedy,1,301,501,1,1,100,0
greedy,1,301,601,1,1,100,1
greedy,1,401,1,1,1,200,324
greedy,1,401,101,1,1,100,4
greedy,1,401,201,1,1,0,1
greedy,1,401,301,1,1,100,1
greedy,1,401,401,1,1,100,325
greedy,1,401,501,1,1,100,0
greedy,1,401,601,1,1,100,0
greedy,1,501,1,1,1,100,298
greedy,1,501,101,1,1,100,0
greedy,1,501,201,1,1,100,7
greedy,1,501,301,1,1,100,1
greedy,1,501,401,1,1,100,1
greedy,1,501,501,1,1,100,1
greedy,1,501,601,1,1,100,1
greedy,1,601,1,1,1,100,446
greedy,1,601,101,1,1,100,2
greedy,1,601,201,1,1,100,1
greedy,1,601,301,1,1,100,1
greedy,1,601,401,1,1,100,0
greedy,1,601,501,1,1,200,1
greedy,1,601,601,1,1,100,4
greedy,1,1,1,2,1,100,1
greedy,1,1,101,2,1,100,0
greedy,1,1,201,2,1,100,0
greedy,1,1,301,2,1,100,0
greedy,1,1,401,2,1,100,0
greedy,1,1,501,2,1,100,0
greedy,1,1,601,2,1,100,0
greedy,1,101,1,2,1,100,32
greedy,1,101,101,2,1,100,0
greedy,1,101,201,2,1,100,0
greedy,1,101,301,2,1,100,0
greedy,1,101,401,2,1,100,0
greedy,1,101,501,2,1,100,1
greedy,1,101,601,2,1,100,0
greedy,1,201,1,2,1,100,117
greedy,1,201,101,2,1,100,1
greedy,1,201,201,2,1,100,0
greedy,1,201,301,2,1,100,0
greedy,1,201,401,2,1,100,0
greedy,1,201,501,2,1,200,0
greedy,1,201,601,2,1,100,0
greedy,1,301,1,2,1,100,163
greedy,1,301,101,2,1,100,4
greedy,1,301,201,2,1,100,0
