Algorithm,TotalItems,ItemsValue,ItemsWeight,Quantity,Capacity,Time_ns,Result
simulated-annealing,1,1,1,1,1,580900,1
simulated-annealing,1,1,101,1,1,563600,0
simulated-annealing,1,1,201,1,1,487700,0
simulated-annealing,1,1,301,1,1,470400,0
simulated-annealing,1,1,401,1,1,442000,0
simulated-annealing,1,1,501,1,1,426500,0
simulated-annealing,1,1,601,1,1,418600,0
simulated-annealing,1,101,1,1,1,324000,99
simulated-annealing,1,101,101,1,1,422600,0
simulated-annealing,1,101,201,1,1,447200,0
simulated-annealing,1,101,301,1,1,439200,0
simulated-annealing,1,101,401,1,1,371200,0
simulated-annealing,1,101,501,1,1,370500,0
simulated-annealing,1,101,601,1,1,313500,0
simulated-annealing,1,201,1,1,1,243700,13
simulated-annealing,1,201,101,1,1,301800,0
simulated-annealing,1,201,201,1,1,275100,0
simulated-annealing,1,201,301,1,1,269600,0
simulated-annealing,1,201,401,1,1,270000,0
simulated-annealing,1,201,501,1,1,270000,0
simulated-annealing,1,201,601,1,1,273000,0
simulated-annealing,1,301,1,1,1,212900,297
simulated-annealing,1,301,101,1,1,272600,0
simulated-annealing,1,301,201,1,1,276900,0
simulated-annealing,1,301,301,1,1,287800,0
simulated-annealing,1,301,401,1,1,275100,0
simulated-annealing,1,301,501,1,1,273200,0
simulated-annealing,1,301,601,1,1,279900,0
simulated-annealing,1,401,1,1,1,214300,107
simulated-annealing,1,401,101,1,1,279300,0
simulated-annealing,1,401,201,1,1,289000,0
simulated-annealing,1,401,301,1,1,286600,0
simulated-annealing,1,401,401,1,1,298100,0
simulated-annealing,1,401,501,1,1,291000,0
simulated-annealing,1,401,601,1,1,281200,0
simulated-annealing,1,501,1,1,1,226800,199
simulated-annealing,1,501,101,1,1,295500,0
simulated-annealing,1,501,201,1,1,290600,0
simulated-annealing,1,501,301,1,1,291800,0
simulated-annealing,1,501,401,1,1,293600,0
simulated-annealing,1,501,501,1,1,291400,0
simulated-annealing,1,501,601,1,1,290300,0
simulated-annealing,1,601,1,1,1,230700,331
simulated-annealing,1,601,101,1,1,294500,0
simulated-annealing,1,601,201,1,1,295300,0
simulated-annealing,1,601,301,1,1,294000,0
simulated-annealing,1,601,401,1,1,297000,0
simulated-annealing,1,601,501,1,1,292900,0
simulated-annealing,1,601,601,1,1,292100,0
simulated-annealing,1,1,1,2,1,239400,1
simulated-annealing,1,1,101,2,1,293200,0
simulated-annealing,1,1,201,2,1,292100,0
simulated-annealing,1,1,301,2,1,293000,0
simulated-annealing,1,1,401,2,1,296400,0
simulated-annealing,1,1,501,2,1,287500,0
simulated-annealing,1,1,601,2,1,365600,0
simulated-annealing,1,101,1,2,1,311300,28
simulated-annealing,1,101,101,2,1,411700,0
simulated-annealing,1,101,201,2,1,423700,0
simulated-annealing,1,101,301,2,1,420000,0
simulated-annealing,1,101,401,2,1,637600,0
simulated-annealing,1,101,501,2,1,633100,0
simulated-annealing,1,101,601,2,1,505300,0
simulated-annealing,1,201,1,2,1,400000,109
simulated-annealing,1,201,101,2,1,506900,0
simulated-annealing,1,201,201,2,1,493700,0
simulated-annealing,1,201,301,2,1,449300,0
simulated-annealing,1,201,401,2,1,436500,0
simulated-annealing,1,201,501,2,1,435800,0
simulated-annealing,1,201,601,2,1,431200,0
simulated-annealing,1,301,1,2,1,341500,204
simulated-annealing,1,301,101,2,1,434400,0
simulated-annealing,1,301,201,2,1,340600,180
simulated-annealing,1,301,301,2,1,439200,0
simulated-annealing,1,301,401,2,1,438300,0
simulated-annealing,1,301,501,2,1,444200,0
simulated-annealing,1,301,601,2,1,430900,0
simulated-annealing,1,401,1,2,1,336600,94
simulated-annealing,1,401,101,2,1,421400,0
simulated-annealing,1,401,201,2,1,426400,0
simulated-annealing,1,401,301,2,1,415300,0
simulated-annealing,1,401,401,2,1,407100,0
simulated-annealing,1,401,501,2,1,592900,0
simulated-annealing,1,401,601,2,1,614900,0
simulated-annealing,1,501,1,2,1,313900,298
simulated-annealing,1,501,101,2,1,399000,0
simulated-annealing,1,501,201,2,1,408100,0
simulated-annealing,1,501,301,2,1,378000,0
simulated-annealing,1,501,401,2,1,371900,0
simulated-annealing,1,501,501,2,1,371400,0
simulated-annealing,1,501,601,2,1,370800,0
simulated-annealing,1,601,1,2,1,294900,529
simulated-annealing,1,601,101,2,1,372900,0
simulated-annealing,1,601,201,2,1,370600,0
simulated-annealing,1,601,301,2,1,372600,0
simulated-annealing,1,601,401,2,1,370900,0
simulated-annealing,1,601,501,2,1,364800,0
simulated-annealing,1,601,601,2,1,345100,0
simulated-annealing,1,1,1,3,1,282000,1
simulated-annealing,1,1,101,3,1,344300,0
simulated-annealing,1,1,201,3,1,341700,0
simulated-annealing,1,1,301,3,1,335700,0
simulated-annealing,1,1,401,3,1,328300,0
simulated-annealing,1,1,501,3,1,327000,0
simulated-annealing,1,1,601,3,1,331400,0
simulated-annealing,1,101,1,3,1,259400,60
simulated-annealing,1,101,101,3,1,316900,0
simulated-annealing,1,101,201,3,1,317900,0
simulated-annealing,1,101,301,3,1,310900,0
simulated-annealing,1,101,401,3,1,302000,0
simulated-annealing,1,101,501,3,1,295600,0
simulated-annealing,1,101,601,3,1,291200,0
simulated-annealing,1,201,1,3,1,231400,57
simulated-annealing,1,201,101,3,1,293800,0
simulated-annealing,1,201,201,3,1,290900,0
simulated-annealing,1,201,301,3,1,306300,0
simulated-annealing,1,201,401,3,1,299900,0
simulated-annealing,1,201,501,3,1,293100,0
simulated-annealing,1,201,601,3,1,297700,0
simulated-annealing,1,301,1,3,1,229300,211
simulated-annealing,1,301,101,3,1,290400,0
simulated-annealing,1,301,201,3,1,292000,0
simulated-annealing,1,301,301,3,1,293300,0
simulated-annealing,1,301,401,3,1,292400,0
simulated-annealing,1,301,501,3,1,286800,0
simulated-annealing,1,301,601,3,1,284300,0
simulated-annealing,1,401,1,3,1,222000,82
simulated-annealing,1,401,101,3,1,283700,0
simulated-annealing,1,401,201,3,1,281100,0
simulated-annealing,1,401,301,3,1,282500,0
simulated-annealing,1,401,401,3,1,281700,0
simulated-annealing,1,401,501,3,1,289500,0
simulated-annealing,1,401,601,3,1,281000,0
simulated-annealing,1,501,1,3,1,220800,205
simulated-annealing,1,501,101,3,1,276100,0
simulated-annealing,1,501,201,3,1,280000,0
simulated-annealing,1,501,301,3,1,276800,0
simulated-annealing,1,501,401,3,1,275500,0
simulated-annealing,1,501,501,3,1,280700,0
simulated-annealing,1,501,601,3,1,276100,0
simulated-annealing,1,601,1,3,1,217400,293
simulated-annealing,1,601,101,3,1,276000,0
simulated-annealing,1,601,201,3,1,278800,0
simulated-annealing,1,601,301,3,1,274000,0
simulated-annealing,1,601,401,3,1,276800,0
simulated-annealing,1,601,501,3,1,277900,0
simulated-annealing,1,601,601,3,1,277400,0
simulated-annealing,1,1,1,4,1,226000,1
simulated-annealing,1,1,101,4,1,274800,0
simulated-annealing,1,1,201,4,1,281100,0
simulated-annealing,1,1,301,4,1,279600,0
simulated-annealing,1,1,401,4,1,279200,0
simulated-annealing,1,1,501,4,1,274600,0
simulated-annealing,1,1,601,4,1,274800,0
simulated-annealing,1,101,1,4,1,218800,75
simulated-annealing,1,101,101,4,1,286200,0
simulated-annealing,1,101,201,4,1,276600,0
simulated-annealing,1,101,301,4,1,291400,0
simulated-annealing,1,101,401,4,1,294700,0
simulated-annealing,1,101,501,4,1,291900,0
simulated-annealing,1,101,601,4,1,291200,0
simulated-annealing,1,201,1,4,1,220000,54
simulated-annealing,1,201,101,4,1,280200,0
simulated-annealing,1,201,201,4,1,276200,0
simulated-annealing,1,201,301,4,1,275700,0
simulated-annealing,1,201,401,4,1,279100,0
simulated-annealing,1,201,501,4,1,280100,0
simulated-annealing,1,201,601,4,1,274900,0
simulated-annealing,1,301,1,4,1,219900,29
simulated-annealing,1,301,101,4,1,275600,0
simulated-annealing,1,301,201,4,1,351800,0
simulated-annealing,1,301,301,4,1,289400,0
simulated-annealing,1,301,401,4,1,275000,0
simulated-annealing,1,301,501,4,1,274300,0
simulated-annealing,1,301,601,4,1,273500,0
simulated-annealing,1,401,1,4,1,218700,70
simulated-annealing,1,401,101,4,1,278700,0
simulated-annealing,1,401,201,4,1,284900,0
simulated-annealing,1,401,301,4,1,287500,0
