Algorithm,TotalItems,ItemsValue,ItemsWeight,Quantity,Capacity,Time_ns,Result
greedy,1,1,1,1,1,3700,1
greedy,1,1,101,1,1,900,0
greedy,1,1,201,1,1,1000,0
greedy,1,1,301,1,1,800,0
greedy,1,1,401,1,1,1000,0
greedy,1,1,501,1,1,800,0
greedy,1,1,601,1,1,4100,0
greedy,1,101,1,1,1,900,56
greedy,1,101,101,1,1,800,0
greedy,1,101,201,1,1,600,0
greedy,1,101,301,1,1,800,0
greedy,1,101,401,1,1,800,0
greedy,1,101,501,1,1,600,0
greedy,1,101,601,1,1,600,0
greedy,1,201,1,1,1,600,162
greedy,1,201,101,1,1,600,0
greedy,1,201,201,1,1,600,0
greedy,1,201,301,1,1,600,0
greedy,1,201,401,1,1,600,0
greedy,1,201,501,1,1,1400,0
greedy,1,201,601,1,1,800,0
greedy,1,301,1,1,1,1500,249
greedy,1,301,101,1,1,600,0
greedy,1,301,201,1,1,600,0
greedy,1,301,301,1,1,600,0
greedy,1,301,401,1,1,600,0
greedy,1,301,501,1,1,600,0
greedy,1,301,601,1,1,600,0
greedy,1,401,1,1,1,600,162
greedy,1,401,101,1,1,600,0
greedy,1,401,201,1,1,600,0
greedy,1,401,301,1,1,600,0
greedy,1,401,401,1,1,600,0
greedy,1,401,501,1,1,500,0
greedy,1,401,601,1,1,600,0
greedy,1,501,1,1,1,700,390
greedy,1,501,101,1,1,600,0
greedy,1,501,201,1,1,600,0
greedy,1,501,301,1,1,800,0
greedy,1,501,401,1,1,600,0
greedy,1,501,501,1,1,600,0
greedy,1,501,601,1,1,700,0
greedy,1,601,1,1,1,700,63
greedy,1,601,101,1,1,500,0
greedy,1,601,201,1,1,600,0
greedy,1,601,301,1,1,600,0
greedy,1,601,401,1,1,600,0
greedy,1,601,501,1,1,600,0
greedy,1,601,601,1,1,600,0
greedy,1,1,1,2,1,600,1
greedy,1,1,101,2,1,600,0
greedy,1,1,201,2,1,600,0
greedy,1,1,301,2,1,600,0
greedy,1,1,401,2,1,600,0
greedy,1,1,501,2,1,500,0
greedy,1,1,601,2,1,600,0
greedy,1,101,1,2,1,600,82
greedy,1,101,101,2,1,500,0
greedy,1,101,201,2,1,600,0
greedy,1,101,301,2,1,600,0
greedy,1,101,401,2,1,600,0
greedy,1,101,501,2,1,600,0
greedy,1,101,601,2,1,600,0
greedy,1,201,1,2,1,600,37
greedy,1,201,101,2,1,600,0
greedy,1,201,201,2,1,500,0
greedy,1,201,301,2,1,600,0
greedy,1,201,401,2,1,600,0
greedy,1,201,501,2,1,500,0
greedy,1,201,601,2,1,500,0
greedy,1,301,1,2,1,500,78
greedy,1,301,101,2,1,500,0
greedy,1,301,201,2,1,500,0
greedy,1,301,301,2,1,500,0
greedy,1,301,401,2,1,500,0
greedy,1,301,501,2,1,500,0
greedy,1,301,601,2,1,500,0
greedy,1,401,1,2,1,600,353
greedy,1,401,101,2,1,500,0
greedy,1,401,201,2,1,600,0
greedy,1,401,301,2,1,500,0
greedy,1,401,401,2,1,500,0
greedy,1,401,501,2,1,600,0
greedy,1,401,601,2,1,500,0
greedy,1,501,1,2,1,500,114
greedy,1,501,101,2,1,500,0
greedy,1,501,201,2,1,500,0
greedy,1,501,301,2,1,500,0
greedy,1,501,401,2,1,500,0
greedy,1,501,501,2,1,600,0
greedy,1,501,601,2,1,400,0
greedy,1,601,1,2,1,500,577
greedy,1,601,101,2,1,500,0
greedy,1,601,201,2,1,500,0
greedy,1,601,301,2,1,500,0
greedy,1,601,401,2,1,500,0
greedy,1,601,501,2,1,500,0
greedy,1,601,601,2,1,500,0
greedy,1,1,1,3,1,600,1
greedy,1,1,101,3,1,500,0
greedy,1,1,201,3,1,500,0
greedy,1,1,301,3,1,600,0
greedy,1,1,401,3,1,500,0
greedy,1,1,501,3,1,600,0
greedy,1,1,601,3,1,600,0
greedy,1,101,1,3,1,500,53
greedy,1,101,101,3,1,500,0
greedy,1,101,201,3,1,600,0
greedy,1,101,301,3,1,600,0
greedy,1,101,401,3,1,500,0
greedy,1,101,501,3,1,500,0
greedy,1,101,601,3,1,500,0
greedy,1,201,1,3,1,500,138
greedy,1,201,101,3,1,500,0
greedy,1,201,201,3,1,500,0
greedy,1,201,301,3,1,600,0
greedy,1,201,401,3,1,500,0
greedy,1,201,501,3,1,500,0
greedy,1,201,601,3,1,600,0
greedy,1,301,1,3,1,500,133
greedy,1,301,101,3,1,600,0
greedy,1,301,201,3,1,400,0
greedy,1,301,301,3,1,600,0
greedy,1,301,401,3,1,500,0
greedy,1,301,501,3,1,500,0
greedy,1,301,601,3,1,500,0
greedy,1,401,1,3,1,500,112
greedy,1,401,101,3,1,500,0
greedy,1,401,201,3,1,500,0
greedy,1,401,301,3,1,500,0
greedy,1,401,401,3,1,500,0
greedy,1,401,501,3,1,500,0
greedy,1,401,601,3,1,500,0
greedy,1,501,1,3,1,500,56
greedy,1,501,101,3,1,500,0
greedy,1,501,201,3,1,500,0
greedy,1,501,301,3,1,500,0
greedy,1,501,401,3,1,500,0
greedy,1,501,501,3,1,400,0
greedy,1,501,601,3,1,500,0
greedy,1,601,1,3,1,600,528
greedy,1,601,101,3,1,500,0
greedy,1,601,201,3,1,500,0
greedy,1,601,301,3,1,500,0
greedy,1,601,401,3,1,500,0
greedy,1,601,501,3,1,500,0
greedy,1,601,601,3,1,500,0
greedy,1,1,1,4,1,500,1
greedy,1,1,101,4,1,500,0
greedy,1,1,201,4,1,500,0
greedy,1,1,301,4,1,500,0
greedy,1,1,401,4,1,700,0
greedy,1,1,501,4,1,500,0
greedy,1,1,601,4,1,600,0
greedy,1,101,1,4,1,500,44
greedy,1,101,101,4,1,500,0
greedy,1,101,201,4,1,500,0
greedy,1,101,301,4,1,600,0
greedy,1,101,401,4,1,600,0
greedy,1,101,501,4,1,600,0
greedy,1,101,601,4,1,500,0
greedy,1,201,1,4,1,500,153
greedy,1,201,101,4,1,500,0
greedy,1,201,201,4,1,500,0
greedy,1,201,301,4,1,500,0
greedy,1,201,401,4,1,500,0
greedy,1,201,501,4,1,500,0
greedy,1,201,601,4,1,500,0
greedy,1,301,1,4,1,500,8
greedy,1,301,101,4,1,500,0
greedy,1,301,201,4,1,500,0
greedy,1,301,301,4,1,500,0
greedy,1,301,401,4,1,500,0
greedy,1,301,501,4,1,500,0
greedy,1,301,601,4,1,500,0
greedy,1,401,1,4,1,500,190
greedy,1,401,101,4,1,500,0
greedy,1,401,201,4,1,400,0
greedy,1,401,301,4,1,400,0
greedy,1,401,401,4,1,300,0
greedy,1,401,501,4,1,300,0
greedy,1,401,601,4,1,400,0
greedy,1,501,1,4,1,500,42
greedy,1,501,101,4,1,400,0
greedy,1,501,201,4,1,400,0
greedy,1,501,301,4,1,300,0
greedy,1,501,401,4,1,400,0
greedy,1,501,501,4,1,300,0
greedy,1,501,601,4,1,400,0
greedy,1,601,1,4,1,400,8
greedy,1,601,101,4,1,400,0
greedy,1,601,201,4,1,400,0
greedy,1,601,301,4,1,400,0
greedy,1,601,401,4,1,300,0
greedy,1,601,501,4,1,400,0
greedy,1,601,601,4,1,400,0
greedy,1,1,1,5,1,400,1
greedy,1,1,101,5,1,400,0
greedy,1,1,201,5,1,400,0
greedy,1,1,301,5,1,400,0
greedy,1,1,401,5,1,400,0
greedy,1,1,501,5,1,300,0
greedy,1,1,601,5,1,400,0
greedy,1,101,1,5,1,400,14
greedy,1,101,101,5,1,500,0
greedy,1,101,201,5,1,400,0
greedy,1,101,301,5,1,400,0
greedy,1,101,401,5,1,500,0
greedy,1,101,501,5,1,400,0
greedy,1,101,601,5,1,400,0
greedy,1,201,1,5,1,400,189
greedy,1,201,101,5,1,400,0
greedy,1,201,201,5,1,500,0
greedy,1,201,301,5,1,400,0
greedy,1,201,401,5,1,400,0
greedy,1,201,501,5,1,400,0
greedy,1,201,601,5,1,400,0
greedy,1,301,1,5,1,400,116
greedy,1,301,101,5,1,300,0
greedy,1,301,201,5,1,400,0
greedy,1,301,301,5,1,400,0
greedy,1,301,401,5,1,400,0
greedy,1,301,501,5,1,400,0
greedy,1,301,601,5,1,400,0
greedy,1,401,1,5,1,400,192
greedy,1,401,101,5,1,400,0
greedy,1,401,201,5,1,400,0
greedy,1,401,301,5,1,400,0
greedy,1,401,401,5,1,400,0
greedy,1,401,501,5,1,400,0
greedy,1,401,601,5,1,400,0
greedy,1,501,1,5,1,400,149
greedy,1,501,101,5,1,400,0
greedy,1,501,201,5,1,400,0
greedy,1,501,301,5,1,400,0
greedy,1,501,401,5,1,400,0
greedy,1,501,501,5,1,300,0
greedy,1,501,601,5,1,400,0
greedy,1,601,1,5,1,400,577
greedy,1,601,101,5,1,400,0
greedy,1,601,201,5,1,400,0
greedy,1,601,301,5,1,300,0
greedy,1,601,401,5,1,400,0
greedy,1,601,501,5,1,400,0
greedy,1,601,601,5,1,400,0
greedy,1,1,1,6,1,400,1
